,Country,Population,YearlyChange,NetChange,Density,LandArea,Migrants,Fert.Rate,Med.Age,UrbanPop,WorldShare,Latitude,Longitude
180,Vanuatu,305623,0.0242,7263,25,12190,120.0,3.8,21,0.24,0.0,-15.241355872999975,166.8727570740001
181,French Guiana,297029,0.027,7850,4,82200,1200.0,3.4,25,0.87,0.0,3.921724136000023,-53.23312207499998
182,Barbados,287305,0.0012,350,668,430,-79.0,1.6,40,0.31,0.0,13.172221979000028,-59.55642447799994
183,New Caledonia,284938,0.0097,2748,16,18280,502.0,2,34,0.72,0.0,-21.307791315999964,165.70184184200002
184,French Polynesia,280580,0.0058,1621,77,3660,-1000.0,2,34,0.64,0.0,-17.67739793399994,-149.40097329699998
185,Mayotte,271417,0.025,6665,728,375,0.0,3.7,20,0.46,0.0,-12.820609210999976,45.147848887000066
186,Sao Tome & Principe,218308,0.0191,4103,228,960,-1680.0,4.4,19,0.74,0.0,0.2393107930000724,6.602059996000037
187,Samoa,198147,0.0067,1317,70,2830,-2803.0,3.9,22,0.18,0.0,-13.62080777999995,-172.44733321399997
188,Saint Lucia,183458,0.0046,837,301,610,0.0,1.4,34,0.19,0.0,13.898639726000056,-60.967300455999975
189,Channel Islands,173536,0.0093,1604,915,190,1351.0,1.5,43,0.3,0.0,34.18411000000003,-119.22501999999997
190,Guam,168474,0.0089,1481,313,540,-506.0,2.3,31,0.95,0.0,13.443563908000044,144.77762780500007
191,Curacao,163958,0.0041,669,370,444,515.0,1.8,42,0.89,0.0,12.193507423000028,-68.97143527599997
192,Kiribati,119069,0.0157,1843,147,810,-800.0,3.6,23,0.57,0.0,1.8518405030000622,-157.35793263799997
193,Micronesia,114776,0.0106,1208,164,700,-600.0,3.1,24,0.21,0.0,6.880382388000044,158.22751848500002
194,Grenada,112418,0.0046,520,331,340,-200.0,2.1,32,0.35,0.0,12.151965053000026,-61.659644958999934
195,St. Vincent & Grenadines,110869,0.0032,351,284,390,-200.0,1.9,33,0.53,0.0,13.243467000000066,-61.17651699999993
196,Aruba,106675,0.0043,452,593,180,201.0,1.9,41,0.44,0.0,12.50908537500004,-69.97050301699994
197,Tonga,105449,0.0115,1201,147,720,-800.0,3.6,22,0.24,0.0,-21.158658678999927,-175.27562999999998
198,U.S. Virgin Islands,104456,-0.0015,-153,298,350,-451.0,2,43,0.96,0.0,17.728114454000035,-64.81908749999997
199,Seychelles,98224,0.0062,608,214,460,-200.0,2.5,34,0.56,0.0,-4.678652263999936,55.46726211600003
200,Antigua and Barbuda,97764,0.0084,811,223,440,0.0,2,34,0.26,0.0,17.077664637000055,-61.79871012099994
201,Isle of Man,84942,0.0053,449,149,570,,N.A.,N.A.,0.53,0.0,54.22823097300005,-4.538760937999939
202,Andorra,77240,0.0016,123,164,470,,N.A.,N.A.,0.88,0.0,42.54530320100008,1.5762863020000282
203,Dominica,71950,0.0025,178,96,750,,N.A.,N.A.,0.74,0.0,15.434657276000053,-61.35007388199995
204,Cayman Islands,65564,0.0119,774,274,240,,N.A.,N.A.,0.97,0.0,19.31842329500006,-81.24322039299994
205,Bermuda,62323,-0.0036,-228,1246,50,,N.A.,N.A.,0.97,0.0,32.30681773200007,-64.77004183699995
206,Marshall Islands,59109,0.0068,399,329,180,,N.A.,N.A.,0.7,0.0,7.069111712000051,171.2953100000001
207,Northern Mariana Islands,57490,0.006,343,125,460,,N.A.,N.A.,0.88,0.0,15.188824770000053,145.75351048700009
208,Greenland,56750,0.0017,98,0,410450,,N.A.,N.A.,0.87,0.0,74.72711633200004,-41.34560937799995
209,American Samoa,55215,-0.0022,-121,276,200,,N.A.,N.A.,0.88,0.0,-14.30068805999997,-170.71811612199997
210,Saint Kitts & Nevis,53123,0.0071,376,205,260,,N.A.,N.A.,0.33,0.0,17.33971168900007,-62.765603845999976
211,Faeroe Islands,48826,0.0038,185,35,1396,,N.A.,N.A.,0.43,0.0,62.00000000000006,-6.999999999999943
212,Sint Maarten,42776,0.0115,488,1261,34,,N.A.,N.A.,0.96,0.0,18.039880898000035,-63.064032819999966
213,Monaco,39186,0.0071,278,26337,1,,N.A.,N.A.,N.A.,0.0,43.73170451200008,7.424355000000048
214,Turks and Caicos,38609,0.0138,526,41,950,,N.A.,N.A.,0.89,0.0,21.758132630000034,-71.82311799799999
215,Saint Martin,38529,0.0175,664,730,53,,N.A.,N.A.,0,0.0,18.080477531000042,-63.06021562199999
216,Liechtenstein,38106,0.0029,109,238,160,,N.A.,N.A.,0.15,0.0,47.14114224000008,9.553182027000048
217,San Marino,33917,0.0021,71,566,60,,N.A.,N.A.,0.97,0.0,43.93817105200003,12.463507795000055
218,Gibraltar,33693,-0.0003,-10,3369,10,,N.A.,N.A.,N.A.,0.0,36.13600766900004,-5.348661838999931
219,British Virgin Islands,30190,0.0067,201,202,150,,N.A.,N.A.,0.52,0.0,18.430308339000078,-64.59420749999998
220,Caribbean Netherlands,26173,0.0094,244,80,328,,N.A.,N.A.,0.75,0.0,12.226633872000036,-68.30806499999994
221,Palau,18077,0.0048,86,39,460,,N.A.,N.A.,N.A.,0.0,7.421479662000024,134.511600068
222,Cook Islands,17561,0.0009,16,73,240,,N.A.,N.A.,0.75,0.0,-21.234657996999942,-159.77802087599997
223,Anguilla,14976,0.009,134,167,90,,N.A.,N.A.,N.A.,0.0,18.224602780000055,-63.05962295599994
224,Tuvalu,11762,0.0125,146,393,30,,N.A.,N.A.,0.62,0.0,-7.47055919099995,178.67158000000006
225,Wallis & Futuna,11276,-0.0169,-193,80,140,,N.A.,N.A.,0,0.0,-13.285018271999945,-176.20445035499998
226,Nauru,10810,0.0063,68,541,20,,N.A.,N.A.,N.A.,0.0,-0.5285406929999681,166.9341949400001
